variant,case_id,case_label,age,gender,bmi,glucose,risk_level,daily_caloric_target,plan_calories,calorie_target_error,mean_gi,max_gi,meal_coverage,meal_type_consistency,diversity,total_carbs,total_protein,total_fat,sim_reward,time_in_range,final_glucose,peak_glucose,strategy_trace,breakfast,lunch,dinner,snack
Guideline + twin,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,2039,1844,195,20.75,41.0,1.0,1.0,0.875,80.4,132.4,115.3,-17.12671428571429,0.0,155.40571428571428,155.40571428571428,"Breakfast: carb<=25.2g, gi<=38 | Lunch: carb<=39.2g, gi<=42 | Dinner: carb<=30.3g, gi<=40 | Snack: carb<=6.2g, gi<=34",Veggie Burger; Coconut Milk,Shawarma; Tandoori Chicken,Chicken Shawarma; Chicken Korma,Coconut Chutney; Coconut Chutney
Graph-Twin planner,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,2039,1844,195,20.75,41.0,1.0,1.0,0.875,80.4,132.4,115.3,-17.12671428571429,0.0,155.40571428571428,155.40571428571428,"Breakfast: carb<=25.2g, gi<=38 | Lunch: carb<=39.2g, gi<=42 | Dinner: carb<=30.3g, gi<=40 | Snack: carb<=6.2g, gi<=34",Veggie Burger; Coconut Milk,Shawarma; Tandoori Chicken,Chicken Shawarma; Chicken Korma,Coconut Chutney; Coconut Chutney
RL policy only,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,1876,1962,86,42.5,85.0,1.0,1.0,1.0,267.8,62.8,79.0,-27.049399999999995,0.0,201.11214285714283,201.11214285714283,high_carb | high_carb | high_carb | high_carb,Oats; Eggplant Parmesan,Falafel; Falafel Wrap,Gajar Halwa; Rajma Masala,Coconut Chutney; Barley
Hybrid RL + heuristic,CS2,Moderate risk / overweight,49,Male,29.0,148.0,0.5842,1876,1910,34,28.75,55.0,1.0,1.0,1.0,275.7,78.9,61.7,-27.114714285714285,0.0,200.99514285714284,200.99514285714284,high_carb | high_carb | high_carb | high_carb,Oats; Veggie Burger,Falafel; Falafel Wrap,Chickpeas; Rajma Masala,Coconut Chutney; Barley
Full heuristic,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,2008,2048,40,14.875,41.0,1.0,1.0,1.0,130.9,129.9,116.6,-33.53734285714286,0.0,205.762,205.762,,Coconut Milk; Veggie Burger,Chicken Tikka Masala; Chicken Korma,Kofta; Tandoori Chicken,Coconut Chutney; Barley
Guideline planner,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,1929,1794,135,18.25,41.0,1.0,1.0,0.875,73.6,117.4,119.3,-32.741714285714295,0.0,193.7057142857143,193.7057142857143,"Breakfast: carb<=17.4g, gi<=31 | Lunch: carb<=27.0g, gi<=35 | Dinner: carb<=20.8g, gi<=33 | Snack: carb<=4.2g, gi<=27",Veggie Burger; Coconut Milk,Mozzarella Cheese; Shawarma,Fish Fry; Butter Chicken,Coconut Chutney; Coconut Chutney
Guideline + graph,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,1929,1794,135,18.25,41.0,1.0,1.0,0.875,73.6,117.4,119.3,-32.741714285714295,0.0,193.7057142857143,193.7057142857143,"Breakfast: carb<=17.4g, gi<=31 | Lunch: carb<=27.0g, gi<=35 | Dinner: carb<=20.8g, gi<=33 | Snack: carb<=4.2g, gi<=27",Veggie Burger; Coconut Milk,Mozzarella Cheese; Shawarma,Fish Fry; Butter Chicken,Coconut Chutney; Coconut Chutney
Guideline + twin,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,1929,1784,145,18.25,41.0,1.0,1.0,0.875,71.4,118.4,121.3,-32.57671428571429,0.0,193.15571428571428,193.15571428571428,"Breakfast: carb<=17.4g, gi<=31 | Lunch: carb<=27.0g, gi<=35 | Dinner: carb<=20.8g, gi<=33 | Snack: carb<=4.2g, gi<=27",Veggie Burger; Coconut Milk,Lamb Shawarma; Chicken Korma,Fish Fry; Butter Chicken,Coconut Chutney; Coconut Chutney
Graph-Twin planner,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,1929,1784,145,18.25,41.0,1.0,1.0,0.875,71.4,118.4,121.3,-32.57671428571429,0.0,193.15571428571428,193.15571428571428,"Breakfast: carb<=17.4g, gi<=31 | Lunch: carb<=27.0g, gi<=35 | Dinner: carb<=20.8g, gi<=33 | Snack: carb<=4.2g, gi<=27",Veggie Burger; Coconut Milk,Lamb Shawarma; Chicken Korma,Fish Fry; Butter Chicken,Coconut Chutney; Coconut Chutney
RL policy only,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,2008,1982,26,44.125,85.0,1.0,1.0,1.0,267.8,62.8,81.0,-43.025400000000005,0.0,240.99214285714285,240.99214285714285,high_carb | high_carb | high_carb | high_carb,Oats; Eggplant Parmesan,Falafel; Falafel Wrap,Foul Sandwich; Gajar Halwa,Coconut Chutney; Barley
Hybrid RL + heuristic,CS3,High risk / obese,66,Male,35.0,188.0,0.9497,2008,1910,98,28.75,55.0,1.0,1.0,1.0,275.7,78.9,61.7,-43.114714285714285,0.0,240.99514285714284,240.99514285714284,high_carb | high_carb | high_carb | high_carb,Oats; Veggie Burger,Falafel; Falafel Wrap,Chickpeas; Rajma Masala,Coconut Chutney; Barley
